sample	locus	read_count	molecule_count
12R_S7_R1_001	TBP	56	56
12R_S7_R1_001	TCN1	5	5
12R_S7_R1_001	TSPAN8	1	1
12R_S7_R1_001	unmatched	1196	622
13R_S8_R1_001	ABCC3	3	3
13R_S8_R1_001	ACADSB	16	16
13R_S8_R1_001	ANXA2	5870	5540
13R_S8_R1_001	ANXA4	990	968
13R_S8_R1_001	AOX1	2	2
13R_S8_R1_001	APOD	24	24
13R_S8_R1_001	AQP3	63	63
13R_S8_R1_001	ARG2	74	74
13R_S8_R1_001	ARID5B	17	17
13R_S8_R1_001	BCL6	39	39
13R_S8_R1_001	C10orf10	210	210
13R_S8_R1_001	C1R	604	598
13R_S8_R1_001	C4BPA	23	23
13R_S8_R1_001	CD55	201	198
13R_S8_R1_001	CEBPD	681	676
13R_S8_R1_001	CFD	141	139
13R_S8_R1_001	CLDN4	578	575
13R_S8_R1_001	COMP	0	0
13R_S8_R1_001	CP	96	96
13R_S8_R1_001	CRABP2	50	50
13R_S8_R1_001	CYC1	167	165
13R_S8_R1_001	DDX52	112	112
13R_S8_R1_001	DEFB1	1075	1069
13R_S8_R1_001	DKK1	31	31
13R_S8_R1_001	DPP4	6	6
13R_S8_R1_001	DYNLT3	761	753
13R_S8_R1_001	EDN3	4	4
13R_S8_R1_001	EDNRB	20	20
13R_S8_R1_001	EFNA1	151	149
13R_S8_R1_001	ENPEP	2	2
13R_S8_R1_001	ERCC_00004	2497	2418
13R_S8_R1_001	ERCC_00108	248	246
13R_S8_R1_001	ERCC_00116	55	55
13R_S8_R1_001	ERCC_00136	403	403
13R_S8_R1_001	G0S2	44	44
13R_S8_R1_001	GADD45A	58	58
13R_S8_R1_001	GBP2	422	417
13R_S8_R1_001	GNLY	2770	2689
13R_S8_R1_001	GPX3	18	18
13R_S8_R1_001	HABP2	1	1
13R_S8_R1_001	HMBS	39	39
13R_S8_R1_001	ID4	736	726
13R_S8_R1_001	IDO1	112	111
13R_S8_R1_001	IGFBP1	1	1
13R_S8_R1_001	IL15	175	171
13R_S8_R1_001	LAMB3	33	33
13R_S8_R1_001	MAOA	210	210
13R_S8_R1_001	MAP3K5	54	54
13R_S8_R1_001	MMP7	10	10
13R_S8_R1_001	MT1G	9175	8495
13R_S8_R1_001	MT1H	989	972
13R_S8_R1_001	NDRG1	67	67
13R_S8_R1_001	NNMT	33	33
13R_S8_R1_001	OLFM1	7	7
